,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
28,"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,CORE2021,C,none,index.html,4608,0,
29,IEEE Computer Security Foundations Symposium (was CSFW),CSF,CORE2021,A,none,csfw,4604,0,
30,International CSI Computer Conference,CSICC,CORE2021,National: Iran,none,,4613,0,
31,Computer Sciences and Information Technologies,CSIT,CORE2021,National,none,,4602,0,
32,Annual Conference on Computer Science Logic,CSL,CORE2021,B,none,csl,4613,1,
33,International Computer Science Symposium in Russia,CSR,CORE2021,National: Russia,none,csr,46,3,4.0
34,Cryptographers Track at RSA Conference,CT-RSA,CORE2021,B,none,ctrsa,4604,0,
35,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,CORE2021,C,none,,4613,0,
36,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2021,A*,none,cvpr,4603,1,5.0
37,International Conference on Cyberworlds (was International Symposium on Cyberworlds),CW,CORE2021,B,none,cw,4607,2,5.0
38,Digital Audio Effects Conference,DAFX,CORE2021,B,none,dafx,4603,0,
39,IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,CORE2021,C,none,dais,4606,0,
40,International Workshop on Data Management on New Hardware,DaMoN,CORE2021,C,none,damon,4605,0,
41,International Workshop on Document Analysis Systems,DAS,CORE2021,B,none,das,4605,0,
42,"International Conference on Dependable, Autonomic and Secure Computing",DASC,CORE2021,C,none,dasc,4604,0,
43,International Conference on Database Systems for Advanced Applications,DASFAA,CORE2021,B,none,dasfaa,4605,0,
44,"International Conference on Data Science, Technology and Applications",DATA,CORE2021,C,none,data,4605,0,
45,"Design, Automation and Test in Europe Conference",DATE,CORE2021,B,none,date,4612,3,5.0
46,Data Warehousing and Knowledge Discovery,DaWaK,CORE2021,B,none,dawak,4605,0,
47,International Baltic Conference on Databases and Information Systems,DB&IS,CORE2021,Regional - Baltic,none,balt,4605,0,
48,Database Programming Languages,DBPL,CORE2021,B,none,dbpl,4605,1,
49,IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,CORE2021,B,none,dbsec,4604,0,
0,International Conference on Dublin Core and Metadata Applications,DC,CORE2021,C,none,,4605,0,
1,International Conference on Distributed Computing and Artificial Intelligence,DCAI,CORE2021,National(Spain),none,dcai,4602,0,
2,Data Compression Conference,DCC,CORE2021,B,none,dcc,4605,0,
3,IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,CORE2021,B,none,dcoss,4606,0,
4,International Conference on Dependability of Computer Systems,DEPCoS,CORE2021,National: Poland,none,depcos,4606,7,4.9
5,Developments in eSystems Engineering,DeSE,CORE2021,C,none,dese,46,0,
6,International Conference on Database and Expert Systems Applications,DEXA,CORE2021,B,none,dexa,4605,0,
7,International Conference on Discrete Geometry for Computer Imagery,DGCI,CORE2021,C,none,dgci,4607,1,4.0
8,The Theory and Application of Diagrams,DIAGRAMS,CORE2021,B,none,diagrams,4602,0,
9,Digital Image Computing Techniques and Applications,DICTA,CORE2021,Australasian B,none,dicta,4603,0,
10,Digital Games Research Conference,DIGRA,CORE2021,C,none,digra,4607,0,
11,"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,CORE2021,C,none,dimva,4604,2,4.0
12,Designing Interactive Systems,DIS,CORE2021,A,none,ACMdis,4608,0,
13,International Symposium on Distributed Computing (was WDAG),DISC,CORE2021,A,none,wdag,4606,0,
14,Dynamic Languages Symposium,DLS,CORE2021,C,none,dls,4612,0,
15,Developments in Language Theory,DLT,CORE2021,B,none,dlt,4613,0,
16,SIAM Conference on Discrete Mathematics,DM,CORE2021,C,none,,4613,0,
17,DNA Computing and Molecular Programming,DNA,CORE2021,B,none,dna,4601,0,
18,ACM Symposium on Document Engineering,DocEng,CORE2021,B,none,doceng,4605,0,
19,International Workshop on Data Warehousing and OLAP,DOLAP,CORE2021,B,none,dolap,4605,0,
20,Discovery Science,DS,CORE2021,Unranked,none,dis,4611,0,
21,International Symposium on Distributed Simulation and Real Time Applications,DS-RT,CORE2021,C,none,dsrt,4606,0,
22,IEEE International Conference on Data Science and Advanced Analytics,DSAA,CORE2021,A,none,dsaa,4605,0,
23,Workshop on Domain Specific Modelling,DSM,CORE2021,C,none,,4612,0,
24,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,CORE2021,A,none,dsn,4606,1,5.0
25,International Workshop on Principles of Diagnosis,DX,CORE2021,C,none,,4612,0,
